테마명,종목명,테마 사유
LCD 부품/소재 ,LX세미콘,"평판 디스플레이용 시스템 반도체 부품 제조업체. 주요제품으로 다양한 방식의 디스플레이 구동에 필요한 핵심부품인 패널 구동 IC 와 Data 신호전달 및 제어부품(T-CON), 전원관리IC(PMIC) 등."
LCD 부품/소재 ,솔브레인홀딩스,"반도체 및 디스플레이 공정용 화학재료, 2차전지 소재 등 생산/판매 업체. 삼성전자, SK하이닉스, LG디스플레이 등 국내 반도체 및 디스플레이 제조사에 공정용 화학 재료 등을 공급."
LCD 부품/소재 ,솔브레인,"반도체 및 디스플레이 공정용 화학재료, 2차전지 소재 등 생산/판매 업체. 삼성전자, SK하이닉스, LG디스플레이 등 국내 반도체 및 디스플레이 제조사에 공정용 화학 재료 등을 공급."
LCD 부품/소재 ,이엔에프테크놀로지,"반도체 및 디스플레이용 전자재료 전문 제조업체. TFT-LCD 소재인 프로세스케미칼(신너, 현상액, 식각액, 박리액 등), TFT-LCD의 칼라필터용 칼라페이스트 등을 제조하여 국내외 LCD 제조업체에 판매중."
LCD 부품/소재 ,제이엠티,"TFT-LCD 패널의 주요 부품 중 하나로 노트북 및 PC 모니터, LCD TV용 핵심 부품인 PBA(Printed Board Assembly)를 주력으로 생산, 공급하는 업체."
LCD 부품/소재 ,에스앤에스텍,"블랭크 마스크 제조업체. 블랭크마스크는 반도체 및 LCD, OLED 노광 공정의 핵심재료인 포토마스크의 원재료임."
LCD 부품/소재 ,에프에스티,반도체 재료/장비 전문업체. LCD용 펠리클(Pellicle) 사업도 영위.
LCD 부품/소재 ,한국컴퓨터,전자제품 세트 업체로부터 완제품의 생산을 위탁받아 생산하는 국내 최초의 EMS(Electronic Manufacturing Service) 전문업체. 중대형 TFT-LCD(LCD-TV용 보드) 모듈용 부품 제조하여 삼성디스플레이 등에 납품.
LCD 부품/소재 ,네패스,"플립칩 Bumping기술을 확보하여 TFT-LCD, OLED 패널의 구동칩 및 스마트폰 등 다양한 스마트 어플리케이션 등의 Chip-set을 위한 Bumping 기술을 개발. 또한, LCD 등 미세회로 Pattern을 구성하기 위하여 사용되는 공정재료인 현상액(Developer), Color Filter 현상액(Color Developer), 세정제(Cleaner), 연마제(Slurry) 등의 소재사업을 영위."
LCD 부품/소재 ,켐트로닉스,"전자용 부품 및 화학소재 전문업체. 사업영역은 LCD Glass용 TG(Thin Glass) 제조와 반도체 및 LCD 관련 전자용 및 공업용 용제류를 생산하는 화학사업부와 PBA(PCB Board Assembly), LD(Local Dimming) LED Plate Borad 등을 개발 및 생산하는 전자사업부로 구분됨"
LCD 부품/소재 ,동진쎄미켐,"감광액과 발포제 생산, 판매업체. 반도체 및 TFT-LCD, PDP 등의 노광공정에 사용되는 감광액(Photoresist) 관련 전자재료사업을 영위."
LCD 부품/소재 ,신화인터텍,"LCD용 광학필름(확산, 반사, 보호, 프리즘필름 등) 및 Mobile OLED용 Tape 제조/판매 업체. 주요 Display SET 업체(한국, 중국, 동남아, 터키 등)에 광학용 Film을 공급."
LCD 부품/소재 ,오성첨단소재,광학용 보호/기능성 필름을 생산하는 소재사업을 영위. LCD용 기능성 광학필름 등을 생산중.
LCD 부품/소재 ,한솔아이원스,"반도체 및 디스플레이(LCD, OLED) 관련 초정밀 가공/세정 업체."
LCD 부품/소재 ,에스폴리텍,"광학용 시트/필름 생산/판매업체. 광학용 시트/필름 사업(TFT-LCD 산업의 일부분인 도광판, 확산판 등을 생산/판매) 영위."
LCD 부품/소재 ,SKC,"LCD, 태양전지, 일반 산업재에 부품으로 사용되는 PET(폴리에스테르)필름 등을 생산/판매하는 필름사업 영위. LCD용 광학용 필름 등을 생산."
LCD 부품/소재 ,우주일렉트로,모바일 및 디스플레이용 초정밀 커넥터를 생산 및 판매하는 업체.
LCD 부품/소재 ,상보,"디스플레이용 광학필름(BLU시트) 전문 제조업체. LED/LCD TV, 모니터, 노트북 등에 들어가는 광학필름을 생산/판매."
LCD 부품/소재 ,엘티씨,디스플레이(LCD용)나 반도체 제조 공정에 사용되는 공정소재(Process Chemical) 중 하나인 박리액 개발 및 제조를 주력사업으로 영위. LCD용 박리액 매출비중이 높음.
LCD 부품/소재 ,예선테크,"기능성 점착소재 제조사업 영위업체. 주요 제품으로는 LCD 및 OLED TV, LCD 모니터 등에 쓰이는 Foam Pad, Gasket Pad, EFR Foam Pad, COF Pad 등."
LCD 부품/소재 ,삼진엘앤디,"정밀 금형/사출 기술 기반의 전자부품업체. 전자부품 사업부에서 TV moldframe, 도광판(Light Guide Panel) 등을 생산/판매. 특히, 삼성전자 BLU 협력업체에 Mold Frame을 공급."
LCD 부품/소재 ,미래나노텍,IT 디스플레이 소재 전문 업체. LCD BLU에 사용되는 광학필름 생산/판매.
LCD BLU제조 ,코이즈,"LCD 보호필름 및 광학코팅 업체. LCD 보호필름 제조 및 LCD의 부품인 백라이트유닛(BLU)의 핵심소재인 광학필름의 코팅과 도광판 및 보호필름 제조를 중심으로 사업 영위. 주요매출처는 LG전자, 미래나노텍, LGD, BOE 등임."
LCD BLU제조 ,한솔테크닉스,"LCD 및 LED TV 핵심부품인 백라이트유닛(BLU) 제조업체. 삼성전자의 BLU 공급업체로 BLU사업은 TV BLU를 중심으로, 파워모듈은 LCD TV용 인버터를 중심으로 사업을 전개."
LCD BLU제조 ,이라이콤,"LCD용 BLU(휴대폰, 태블릿, 소형가전제품용 등) 생산업체. 삼성전자의 협력업체로 등록되어 있으며, 중소형 BLU업체 중 First Vendor로 휴대폰 및 태블릿PC용 BLU 공급업체중 가장 높은 점유율을 유지중. "
LCD BLU제조 ,삼진엘앤디,"정밀 금형/사출 기술 기반의 전자부품업체. 전자부품 사업부에서 BLU핵심부품인 Mold frame, 도광판(Light Guide Panel) 등을 생산/판매. 특히, 삼성전자 BLU 협력업체에 Mold Frame을 공급."
LCD장비 ,제이스텍,"디스플레이 및 반도체 장비 제조업체. 디스플레이장비, 반도체장비, 레이저장비 사업을 영위중이며, TFT/LCD 용 LASER Welding 장비 등을 생산."
